Timestamp,Verdict,BPM,Confidence,Pulse
15:00:34,REAL,73 BPM,87%,STABLE
15:00:34,REAL,73 BPM,87%,STABLE
15:00:35,REAL,73 BPM,87%,STABLE
15:00:35,REAL,73 BPM,87%,STABLE
15:00:36,REAL,73 BPM,87%,STABLE
15:00:36,REAL,73 BPM,87%,STABLE
15:00:36,REAL,73 BPM,87%,STABLE
15:00:37,REAL,73 BPM,87%,STABLE
15:00:37,REAL,73 BPM,87%,STABLE
15:00:37,REAL,73 BPM,87%,STABLE
15:00:38,REAL,73 BPM,87%,STABLE
15:00:38,REAL,73 BPM,87%,STABLE
15:00:38,REAL,73 BPM,87%,STABLE
15:00:39,REAL,73 BPM,87%,STABLE
15:00:39,REAL,73 BPM,87%,STABLE
15:00:40,REAL,73 BPM,87%,STABLE
15:00:40,REAL,73 BPM,87%,STABLE
15:00:40,REAL,73 BPM,87%,STABLE
15:00:41,REAL,73 BPM,87%,STABLE
15:00:41,REAL,73 BPM,87%,STABLE
15:00:42,REAL,73 BPM,87%,STABLE
15:00:42,REAL,73 BPM,87%,STABLE
15:00:42,REAL,73 BPM,87%,STABLE
15:00:43,REAL,73 BPM,87%,STABLE
15:00:43,REAL,73 BPM,87%,STABLE
15:00:43,REAL,73 BPM,87%,STABLE
15:00:44,REAL,73 BPM,87%,STABLE
15:00:44,REAL,73 BPM,87%,STABLE
15:00:45,REAL,73 BPM,87%,STABLE
15:00:45,REAL,73 BPM,87%,STABLE
15:00:45,REAL,73 BPM,87%,STABLE
15:00:46,REAL,73 BPM,87%,STABLE
15:00:46,REAL,73 BPM,87%,STABLE
15:00:47,REAL,73 BPM,87%,STABLE
15:00:47,REAL,73 BPM,87%,STABLE
15:00:47,REAL,73 BPM,87%,STABLE
15:00:47,REAL,73 BPM,87%,STABLE
15:00:48,REAL,73 BPM,87%,STABLE
15:00:48,REAL,73 BPM,87%,STABLE
15:00:48,REAL,73 BPM,87%,STABLE
15:00:48,REAL,73 BPM,87%,STABLE
15:00:49,REAL,73 BPM,87%,STABLE
15:00:49,REAL,73 BPM,87%,STABLE
15:00:49,REAL,73 BPM,87%,STABLE
15:00:49,REAL,73 BPM,87%,STABLE
15:00:50,REAL,73 BPM,87%,STABLE
15:00:50,REAL,73 BPM,87%,STABLE
15:00:50,REAL,73 BPM,87%,STABLE
15:00:50,REAL,73 BPM,87%,STABLE
15:00:51,REAL,73 BPM,87%,STABLE
15:00:51,REAL,73 BPM,87%,STABLE
15:00:51,REAL,73 BPM,87%,STABLE
15:00:51,REAL,73 BPM,87%,STABLE
15:00:52,REAL,73 BPM,87%,STABLE
15:00:52,REAL,73 BPM,87%,STABLE
15:00:52,REAL,73 BPM,87%,STABLE
15:00:52,REAL,73 BPM,87%,STABLE
15:00:53,REAL,73 BPM,87%,STABLE
15:00:53,REAL,73 BPM,87%,STABLE
15:00:53,REAL,73 BPM,87%,STABLE
15:00:53,REAL,73 BPM,87%,STABLE
15:00:54,REAL,73 BPM,87%,STABLE
15:00:54,REAL,73 BPM,87%,STABLE
15:00:54,REAL,73 BPM,87%,STABLE
15:00:54,REAL,73 BPM,87%,STABLE
15:00:55,REAL,73 BPM,87%,STABLE
15:00:55,REAL,73 BPM,87%,STABLE
15:00:55,REAL,73 BPM,87%,STABLE
15:00:56,REAL,73 BPM,87%,STABLE
15:00:56,REAL,73 BPM,87%,STABLE
15:00:56,REAL,73 BPM,87%,STABLE
15:00:56,REAL,73 BPM,87%,STABLE
15:00:57,REAL,73 BPM,87%,STABLE
15:00:57,REAL,73 BPM,87%,STABLE
15:00:57,REAL,73 BPM,87%,STABLE
15:00:57,REAL,73 BPM,87%,STABLE
15:00:58,REAL,73 BPM,87%,STABLE
15:00:58,REAL,73 BPM,87%,STABLE
15:00:58,REAL,73 BPM,87%,STABLE
15:00:59,REAL,73 BPM,87%,STABLE
15:00:59,REAL,73 BPM,87%,STABLE
15:00:59,REAL,73 BPM,87%,STABLE
15:00:59,REAL,73 BPM,87%,STABLE
15:01:00,REAL,73 BPM,87%,STABLE
15:01:00,REAL,73 BPM,87%,STABLE
15:01:00,REAL,73 BPM,87%,STABLE
15:01:00,REAL,73 BPM,87%,STABLE
15:01:01,REAL,73 BPM,87%,STABLE
15:01:01,REAL,73 BPM,87%,STABLE
15:01:01,REAL,73 BPM,87%,STABLE
15:01:01,REAL,73 BPM,87%,STABLE
15:01:02,REAL,73 BPM,87%,STABLE
15:01:02,REAL,73 BPM,87%,STABLE
15:01:02,REAL,73 BPM,87%,STABLE
15:01:02,REAL,73 BPM,87%,STABLE
15:01:03,REAL,73 BPM,87%,STABLE
15:01:03,REAL,73 BPM,87%,STABLE
15:01:03,REAL,73 BPM,87%,STABLE
15:01:04,REAL,73 BPM,87%,STABLE
15:01:04,REAL,73 BPM,87%,STABLE
15:01:04,REAL,73 BPM,87%,STABLE
15:01:04,REAL,73 BPM,87%,STABLE
15:01:05,REAL,73 BPM,87%,STABLE
15:01:05,REAL,73 BPM,87%,STABLE
15:01:06,REAL,73 BPM,87%,STABLE
15:01:06,REAL,73 BPM,87%,STABLE
15:01:06,REAL,73 BPM,87%,STABLE
15:01:07,REAL,73 BPM,87%,STABLE
15:01:07,REAL,73 BPM,87%,STABLE
15:01:07,REAL,73 BPM,87%,STABLE
15:01:07,REAL,73 BPM,87%,STABLE
15:01:08,REAL,73 BPM,87%,STABLE
15:01:08,REAL,73 BPM,87%,STABLE
15:01:08,REAL,73 BPM,87%,STABLE
15:01:09,REAL,73 BPM,87%,STABLE
15:01:09,REAL,73 BPM,87%,STABLE
15:01:53,REAL,73 BPM,87%,STABLE
15:01:53,REAL,73 BPM,87%,STABLE
15:01:54,REAL,73 BPM,87%,STABLE
15:01:54,REAL,73 BPM,87%,STABLE
15:01:55,REAL,73 BPM,87%,STABLE
15:01:55,REAL,73 BPM,87%,STABLE
15:01:55,REAL,73 BPM,87%,STABLE
15:01:56,REAL,73 BPM,87%,STABLE
15:01:56,REAL,73 BPM,87%,STABLE
15:01:57,REAL,73 BPM,87%,STABLE
15:01:57,REAL,73 BPM,87%,STABLE
15:01:57,REAL,73 BPM,87%,STABLE
15:01:58,REAL,73 BPM,87%,STABLE
15:01:58,REAL,73 BPM,87%,STABLE
15:01:59,REAL,73 BPM,87%,STABLE
15:01:59,REAL,73 BPM,87%,STABLE
15:01:59,REAL,73 BPM,87%,STABLE
15:02:00,REAL,73 BPM,87%,STABLE
15:02:00,REAL,73 BPM,87%,STABLE
15:02:00,REAL,73 BPM,87%,STABLE
15:02:01,REAL,73 BPM,87%,STABLE
15:02:01,REAL,73 BPM,87%,STABLE
15:02:02,REAL,73 BPM,87%,STABLE
15:02:02,REAL,73 BPM,87%,STABLE
15:02:02,REAL,73 BPM,87%,STABLE
15:02:03,REAL,73 BPM,87%,STABLE
15:02:03,REAL,73 BPM,87%,STABLE
15:02:03,REAL,73 BPM,87%,STABLE
15:02:04,REAL,73 BPM,87%,STABLE
15:02:04,REAL,73 BPM,87%,STABLE
15:02:05,REAL,73 BPM,87%,STABLE
15:02:05,REAL,73 BPM,87%,STABLE
15:02:06,REAL,73 BPM,87%,STABLE
15:02:06,REAL,73 BPM,87%,STABLE
15:02:06,REAL,73 BPM,87%,STABLE
15:02:07,REAL,73 BPM,87%,STABLE
15:02:07,REAL,73 BPM,87%,STABLE
15:02:08,REAL,73 BPM,87%,STABLE
15:02:08,REAL,73 BPM,87%,STABLE
